"finding_id","audit_areas","developer_finding","before","remediation","status","production_evidence"
"DEV-01","01,08,11","Crawler/user rendering and route parity","Different HTML by user agent; unknown and trailing-slash routes inconsistent","Universal prerender output, true 404s, and 301 canonical redirects","Fixed","Live smoke checks"
"DEV-02","01,02,03","Job URL consistency","Inconsistent and non-descriptive job paths","Shared descriptive canonical URL generator used by pages, links, metadata, and sitemaps","Fixed","1,057-URL verifier: zero non-self canonicals"
"DEV-03","01,03","Broken generated internal links","District/category/qualification links generated invalid or parameter-heavy targets","Clean public route builders and corrected qualification links","Fixed","1,057-URL verifier: zero non-200 sitemap URLs"
"DEV-04","03,04","Expired jobs in index feeds and schema","Expired jobs listed and emitted stale JobPosting validThrough","Expired jobs excluded from sitemap, archived page noindex/follow, no expired JobPosting","Fixed","expired_jobposting=0; noindex_in_sitemap=0"
"DEV-05","03,05","Sitemap correctness and coverage","Stale, duplicate, future-dated, and missing content types","Active canonical feeds, news ID fix, deduplication, date clamp, quiz and image sitemap","Fixed","12 child sitemaps; 1,057 unique URLs; zero issues"
"DEV-06","02,09","Duplicate result/admit output","Duplicate database rows produced duplicate listings and metadata","Output-level deduplication for results and admit cards","Fixed","Live prerender and sitemap verification"
"DEV-07","01,02,11","Metadata/canonical/hreflang consistency","Long/inconsistent metadata and same-URL x-default","Metadata caps, self-canonical output, aligned language metadata, invalid hreflang removed","Fixed","missing_canonical=0; non_self_canonical=0; invalid_x_default=0"
"DEV-08","04,10","Structured-data correctness","Duplicate organization/site schema and expired job schema","Single entity schema, verified sameAs only, active-job schema rules","Fixed","expired_jobposting=0; live page inspection"
"DEV-09","05,06","Oversized blog cover images","67 covers above 1.1 MB with no modern responsive variants","Generated 640/1200 WebP variants and updated cover paths; originals preserved","Fixed","67 mobile plus 67 large WebP variants verified"
"DEV-10","05,06","Oversized assessment hero","Approximately 1.78 MB legacy image","Responsive mobile and 1200 px WebP assets","Fixed","23,382-byte mobile and 58,794-byte large asset"
"DEV-11","06","Mobile loading and JavaScript cost","Performance 42; FCP 5.60 s; LCP 8.54 s; TBT 714 ms","Lazy public routes, system font, deferred SDK, responsive eager hero, compact notification UI","Fixed","Valid Lighthouse: 74; 1.79 s FCP; 4.58 s LCP; 321 ms TBT"
"DEV-12","13","Analytics absent for ordinary visitors","Crawler-only/inconsistent analytics presence","Direct GA4 consent mode plus page-view/search/filter tracking; deferred OneSignal","Fixed in code","Ordinary-user production bundle and live browser run"
"DEV-13","12","Accessibility failures","Contrast, link-name, landmark, touch-target, and overlay issues","Contrast/target rules, matching names, skip/main landmarks, compact overlay, footer cleanup","Fixed","Final axe WCAG scan: zero violations"
"DEV-14","10,12","CSP/header compatibility","Policy incomplete for required application services","Helmet CSP and Nginx report-only CSP aligned with API and approved integrations","Fixed","Live CSP headers; Lighthouse console errors=0"
"DEV-15","02,03","Thin indexable programmatic pages","Low-value combinations indexable and overrepresented","Thin pages noindex and excluded; public pages receive pagination/internal links","Fixed","noindex_in_sitemap=0"
"DEV-16","05","Future blog image handling","New uploads could recreate legacy image weight","Server-side optimized cover generation added to admin blog upload flow","Fixed","Backend tests and deployed upload controller"
"DEV-17","04,10","Unverified entity/social links","Schema/footer referenced unverified destinations","Unverified references removed; official destinations only","Fixed","Live rendered footer/schema inspection"
"DEV-18","02,03","Quiz sitemap coverage","/quiz was required in sitemap coverage","/quiz retained in canonical public sitemap generation","Fixed","/quiz=200 and present in sitemap"
